ticker,pre_total_var,pre_syst_share,pre_avg_corr,pre_beta,pre_amihud,pre_momentum,pre_log_dolvol,pre_downside_vol,w_pre,delta_w,crisis,peak
BA,0.0002042486125294366,0.28539282468371197,0.2559955097198053,1.1173469748534217,4.635135879622724e-05,0.2366303373353678,19.24562117010483,0.008272317486929465,2.713508848185257e-07,-2.2881123698725203e-07,GFC,2009-03-09
BAC,6.419555431223543e-05,0.4018559386456738,0.3260815844923201,0.7433179954035113,1.4066286225407998e-05,0.18728478965829887,19.853978697853602,0.005028193556090384,8.876372231476526e-07,-8.796006207230407e-07,GFC,2009-03-09
BIIB,0.0002589001113551192,0.32958101816372265,0.27580892402449686,1.351867692351189,8.315338865591311e-05,0.09661207989379894,18.81982671934198,0.010054875564052858,4.847929577904394e-07,-4.450837705179281e-07,GFC,2009-03-09
BK,0.00016779618185430554,0.2960306065847385,0.265762372585151,1.031445581425768,0.00010970149899494398,0.2339404460758743,18.181760487668072,0.006885458477325599,3.141512288861261e-07,-3.0430840397357616e-07,GFC,2009-03-09
BKNG,0.0005462867977641623,0.19814380005166973,0.20374929624791366,1.5226061210465822,0.0010126938168988563,0.6507212560257121,17.054223245849485,0.013926977124002116,1.0682017773223298e-07,-5.859648749886964e-08,GFC,2009-03-09
BLK,0.0003331969917362275,0.2065359541608553,0.20896854267652734,1.2140465623751906,0.0009030789723851192,0.35550940038924067,16.676951222473395,0.01125795219609081,1.9598978366000583e-07,-1.766102306787592e-07,GFC,2009-03-09
BMY,0.00020983584257901257,0.19280070042185002,0.21457264434832782,0.9308530267503317,9.014315543722732e-05,0.17498042785978316,18.413308201859163,0.010896591984470592,2.5268194446953966e-07,-1.371426091381632e-07,GFC,2009-03-09
BRK-B,5.125532905883599e-05,0.0499944500866997,0.10799313563893818,0.23427038210626308,0.00010764939412761334,0.217635023183467,17.691970580922792,0.0039267261291203075,0.2433734441489637,-0.152956654582099,GFC,2009-03-09
C,8.173520343113504e-05,0.37734070863476626,0.31237864457838266,0.8127526221523637,1.2843541214553109e-05,0.1776540862585445,20.021625212306212,0.006189917685225202,0.00031919725518142077,-0.00031919018950380817,GFC,2009-03-09
CAT,0.00032634729101546015,0.2742906023442745,0.2415634382899129,1.3846258812482037,5.220947174089461e-05,0.0692623056114863,19.269477323786077,0.016041872286451597,1.9816046018203466e-07,-1.5425597750295334e-07,GFC,2009-03-09
CL,8.651489895717556e-05,0.0912872664357508,0.1593306342463512,0.41127994114815714,9.373302849716678e-05,0.18682510648834516,18.150267719533346,0.005446908042320001,0.0050937316212080275,-0.005093541916316912,GFC,2009-03-09
CMCSA,0.0001456902228768002,0.26703244188422826,0.2513288896315648,0.9128179937968078,4.103911285451951e-05,0.48356064473882,19.263833201253814,0.006406446277360533,3.525465710959967e-06,-3.5033131342257554e-06,GFC,2009-03-09
COF,0.00022135384842568667,0.24102678084224224,0.2335237692777372,1.0689642071712226,7.123054622736517e-05,-0.11976675950824717,18.780564625323283,0.012615734656016807,3.575158166812314e-07,-3.4475541561340947e-07,GFC,2009-03-09
COP,0.00025356494601654615,0.14318134978809496,0.16429209924470012,0.8818095712606351,3.789985387442607e-05,0.24361893486352995,19.634650824000754,0.009980923051108159,0.031518024937603244,-0.03151797113278995,GFC,2009-03-09
COST,0.00018169309808276998,0.3382321811471302,0.283479223088097,1.1472647586388354,8.335319646297459e-05,0.06605817891835286,18.676362883299017,0.007818832269721979,2.659173375076016e-07,-5.0861233435916685e-08,GFC,2009-03-09
CRM,0.0008809110549615136,0.2347271345200563,0.21166744527031228,2.1044308205192266,0.0003614769766767684,0.10703864941978083,17.927665312468637,0.01665287288411454,1.3387121826675176e-07,-1.0041966865126297e-07,GFC,2009-03-09
CSCO,0.00030534922598877143,0.2231744246793142,0.21879793088837032,1.2081131142914345,1.65264694039595e-05,0.4607526789107486,20.40450882866858,0.008466187455825,2.391417769481646e-07,-2.0423518934504925e-07,GFC,2009-03-09
