crisis,estimator,variable,beta_std,tstat,pval,r2
COVID,Gerber,log_dolvol,-0.00018041339763976726,-0.017913035520209064,0.9857446491224677,3.274242764583768e-06
Rates,Sample,beta,-0.02037284218282821,-2.226145385658629,0.02829520335181246,0.04813450986793155
Rates,Sample,beta_sq,-0.016559793517468578,-1.7941661705097949,0.07587025278831327,0.031802638060535626
Rates,Sample,total_var,-0.014712194031274212,-1.588501197192859,0.11539425205278131,0.02510199275659375
Rates,Sample,syst_var,-0.016559793517468585,-1.7941661705097955,0.07587025278831327,0.031802638060535626
Rates,Sample,idio_var,-0.009139406822068161,-0.9790874041050475,0.32994763544562167,0.009687000697561787
Rates,Sample,syst_share,-0.013549153460816064,-1.4600739891085928,0.14746813869698716,0.021290096771328093
Rates,Sample,inv_idio_var,0.01982669824783404,2.163576374008708,0.03292792473740258,0.04558837434953522
Rates,Sample,beta_over_idio,0.0009679994281097525,0.10320206633694953,0.9180134945197003,0.00010866846025214816
Rates,Sample,beta_sq_over_idio,-0.01092317812670746,-1.172639241965204,0.24378305896471164,0.013837299584219864
Rates,Sample,total_vol,-0.017992919270977382,-1.955245053541615,0.053402583732628406,0.03754538610562552
Rates,Sample,idio_vol,-0.01136306880629688,-1.220566749190466,0.22517883934259153,0.01497423294606881
Rates,Sample,syst_vol,-0.020372842182828213,-2.2261453856586293,0.02829520335181246,0.04813450986793155
Rates,Sample,skewness,-0.0026329092966817665,-0.2808020254036484,0.779454217795877,0.0008039427221029349
Rates,Sample,ex_kurtosis,-0.0052780865388177296,-0.5635972812185261,0.5743156294524687,0.0032307721104100073
Rates,Sample,downside_vol,-0.016783576825690486,-1.8192250777800458,0.07193065310702407,0.032667985470136385
Rates,Sample,var_5pct,-0.01728697352964833,-1.875719269551285,0.06367037349902427,0.0346570223175785
Rates,Sample,cvar_5pct,-0.018062371683391094,-1.9630884627515488,0.05247057043710557,0.03783579482521038
Rates,Sample,max_drawdown,-0.015482369369708104,-1.673975402121915,0.09732431013090581,0.027798935177192674
Rates,Sample,avg_corr,-0.014497197736430028,-1.5647033290844372,0.12087601875107801,0.024373698640591468
Rates,Sample,autocorr_1,0.01451927439198866,1.5671457613192306,0.12030405317061543,0.02444798878505894
Rates,Sample,amihud,-0.014840818202853129,-1.6027513858572278,0.1122079516645218,0.025542829368840114
Rates,Sample,log_dolvol,0.0028087967527135735,0.2995772132103006,0.7651341206389919,0.0009149427934219689
Rates,LW,beta,-0.01928402176072658,-2.9944818636094133,0.00348043165948253,0.08382892107877882
Rates,LW,beta_sq,-0.01576529015060176,-2.4117633985847684,0.017737317016184084,0.05602767322370927
Rates,LW,total_var,-0.013784868950857085,-2.0942171687484463,0.0388208938035135,0.04283550924326773
Rates,LW,syst_var,-0.01576529015060177,-2.4117633985847693,0.017737317016184084,0.05602767322370927
Rates,LW,idio_var,-0.008326962982864174,-1.2474407163210137,0.2152086981594623,0.015630465741083843
Rates,LW,syst_share,-0.014675196434048373,-2.236159209638367,0.027609287607154087,0.04854745828117246
Rates,LW,inv_idio_var,0.01376625751066371,2.0912634228272906,0.03909087894229302,0.04271991984786849
Rates,LW,beta_over_idio,-0.0034275232077155306,-0.5101155834689127,0.6111174911644779,0.0026482529149299827
Rates,LW,beta_sq_over_idio,-0.013085362087720718,-1.983561655932694,0.05010262964981016,0.038598474439730635
Rates,LW,total_vol,-0.01648281267156314,-2.5285249875395905,0.013050999273221064,0.06124368253005974
Rates,LW,idio_vol,-0.009619366424327865,-1.4448946840045176,0.1516774132372829,0.020858908908613083
Rates,LW,syst_vol,-0.01928402176072658,-2.994481863609413,0.00348043165948253,0.0838289210787787
Rates,LW,skewness,-0.00385714649233235,-0.5742592224754204,0.5671081932875182,0.003353751791969395
Rates,LW,ex_kurtosis,-0.005582135681413599,-0.832613462188745,0.40708724465039414,0.007024241387257102
Rates,LW,downside_vol,-0.014520031353163373,-2.211329272552833,0.029337398374528867,0.04752627308335122
Rates,LW,var_5pct,-0.01557160990418945,-2.380409897179186,0.01922768215906423,0.05465950338467229
Rates,LW,cvar_5pct,-0.015826891826029477,-2.4217499904885598,0.017284681044916317,0.05646637641874874
Rates,LW,max_drawdown,-0.013791843851630996,-2.095324264751918,0.03872011566857547,0.04287886823560616
Rates,LW,avg_corr,-0.01514201810557694,-2.31110596985564,0.022922224384021028,0.0516851966640659
Rates,LW,autocorr_1,0.012077090254713452,1.8253003950545539,0.07100158867687423,0.03287935388651275
Rates,LW,amihud,-0.013312361515789826,-2.0193908092259605,0.046177329251766874,0.03994927082905764
Rates,LW,log_dolvol,0.0017913464459754173,0.26634778125898806,0.7905309709973691,0.0007233655531040384
Rates,Gerber,beta,-0.020692886533747668,-1.2227250166407257,0.22436596428692313,0.015026439698791694
Rates,Gerber,beta_sq,-0.0183650814900729,-1.0834236759609885,0.28127881530980003,0.011835855643521631
Rates,Gerber,total_var,-0.01932169394584307,-1.1405881398711613,0.256821109188885,0.013100996704767942
Rates,Gerber,syst_var,-0.018365081490072894,-1.083423675960988,0.28127881530980026,0.011835855643521631
Rates,Gerber,idio_var,-0.015210895371567243,-0.8956639349083326,0.37262701091977357,0.008119391790500807
Rates,Gerber,syst_share,-0.006273003353688978,-0.36812524009942976,0.7135737984177144,0.0013809087439102807
Rates,Gerber,inv_idio_var,0.03494756434078301,2.094831469146431,0.03876494658349294,0.042859565739061356
Rates,Gerber,beta_over_idio,0.01161195274508017,0.682582577701398,0.4964809814442612,0.004731779078789078
Rates,Gerber,beta_sq_over_idio,-0.005687386126492586,-0.3337177824041435,0.7393055408806075,0.0011351137086796914
Rates,Gerber,total_vol,-0.023135865580287067,-1.3696935933879564,0.17391285947274726,0.018783886044654086
Rates,Gerber,idio_vol,-0.01892415798058595,-1.1168191510499816,0.2668023480145181,0.012567447219830608
Rates,Gerber,syst_vol,-0.020692886533747682,-1.2227250166407266,0.2243659642869229,0.015026439698791694
Rates,Gerber,skewness,0.0028971622637387457,0.1699248119229855,0.8654195600647121,0.00029455037478998136
Rates,Gerber,ex_kurtosis,-0.020232881564848915,-1.1951429725023575,0.2349153861657951,0.014365786865194519
Rates,Gerber,downside_vol,-0.030684183515191914,-1.8299127236858574,0.07030294040432095,0.03304023161711822
Rates,Gerber,var_5pct,-0.01647078709264301,-0.9705357410270344,0.33416883109654427,0.009520124915527561
Rates,Gerber,cvar_5pct,-0.027356519416544094,-1.6257729567630117,0.10720962477778628,0.026262473201485115
Rates,Gerber,max_drawdown,-0.015711034556768106,-0.9253668514335729,0.35704823217950254,0.008662106276805304
Rates,Gerber,avg_corr,-0.006583284459139011,-0.38636087280538917,0.700066999808971,0.0015208948253019328
Rates,Gerber,autocorr_1,0.016081349737723995,0.9473755422585901,0.3457776786263831,0.00907525703653278
Rates,Gerber,amihud,-0.021428162056506744,-1.2668709549194097,0.20820399127865086,0.016113273715759657
Rates,Gerber,log_dolvol,0.004172928437869508,0.24479000382944904,0.8071308616531101,0.000611076825918766
